artist,track,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,label
Calum Bowen,The Club,77GKbwFEiNL7zmelPymsJB,0.881,0.498,0,-12.213,1,0.37,0.557,0.48,0.362,0.871,152.905,53000,4,jojo
Liza Anne,Bummer Days,5XgD3IJKhhChTDtoRzl2V6,0.692,0.673,8,-3.585,1,0.0323,0.54,0.0,0.165,0.703,99.652,157668,4,jojo
Vince Staples,Yeah Right,35tWhD29yvWwB0IDRr6zsL,0.734,0.468,1,-9.029,1,0.0912,0.018,0.0,0.382,0.285,118.001,188947,4,jojo
ミドリ,ゆきこさん,7EzsrJjJQBXRPiAPijADtG,0.513,0.935,11,-2.942,0,0.257,0.000376,0.00627,0.321,0.431,87.058,188493,4,jojo
Kanye West,Facts (Charlie Heat Version),3MnbXlC1N7GdS9M8HzA6no,0.777,0.662,1,-3.761,0,0.143,0.0518,0.0,0.168,0.4,142.059,200733,4,jojo
Empress Of,I Don't Even Smoke Weed,4AcjZoKIpV3s1jWdkSGWnJ,0.776,0.735,11,-6.795,0,0.0705,0.253,2.75e-05,0.187,0.617,125.013,206320,4,jojo
Car Seat Headrest,Nervous Young Inhumans,4EQlTA60UgWuSrc1UfWUyQ,0.485,0.319,6,-10.791,0,0.0353,0.0148,0.0962,0.419,0.335,134.033,325741,4,jojo
Machine Girl,うずまき,6pD8zEYJc0096VvUQAcEO0,0.321,0.954,11,-5.083,0,0.357,0.0399,0.00539,0.307,0.132,185.927,232708,5,jojo
Dorian Electra,M'Lady (feat. Kero Kero Bonito) [S3RL Remix],327Y6xTmonBO9FY01ZKuti,0.606,0.942,11,-3.185,0,0.183,0.0253,0.000687,0.0874,0.513,175.036,155100,4,jojo
Rhymefest,Brand New (feat. Kayne West) - Dirty,3hdtox1ZVmJBF9YjcEUy1o,0.592,0.942,0,-4.239,1,0.365,0.0067,0.0,0.12,0.576,92.58,220573,4,jojo
Ashnikko,Maggots,4z273kPQy8lRomWDuwOrb4,0.615,0.817,11,-3.921,0,0.261,0.0617,1.26e-05,0.649,0.625,176.064,138813,4,jojo
The Strokes,Reptilia,57Xjny5yNzAcsxnusKmAfA,0.489,0.649,9,-5.11,1,0.0336,0.000603,0.713,0.101,0.77,158.009,219827,4,jojo
Faye Webster,Flowers (feat. Father),7AkCXyHbKYgySIjqVzG3jm,0.655,0.21,7,-15.075,1,0.174,0.653,8.75e-05,0.141,0.0604,77.971,261667,4,jojo
Car Seat Headrest,Cute Thing,7AppWYIm98qFOGVMbNHJSB,0.308,0.744,10,-5.162,1,0.0524,0.00627,0.291,0.116,0.273,114.258,339322,4,jojo
Machine Girl,Post Rave Maximalist,39yRcZYyAxUsb4S7kQBpJB,0.557,0.997,11,-6.156,0,0.193,0.00304,0.881,0.0292,0.498,165.14,148428,4,jojo
Shakira,She Wolf,4cS2HQ6jK80vqdY9ofpztx,0.865,0.69,7,-7.448,1,0.0443,0.285,0.0162,0.225,0.867,121.983,188867,4,jojo
Sylvan Esso,Radio,0idjTHGhGRBdWTmsalq3tF,0.557,0.895,0,-6.547,1,0.0329,0.642,0.0186,0.254,0.591,119.993,212333,4,jojo
Rina Sawayama,Akasaka Sad,32umfTzGdXsWOTNaRGR5hd,0.666,0.912,0,-4.097,1,0.147,0.14,6.98e-05,0.374,0.477,144.956,182195,4,jojo
Otoboke Beaver,anata watashi daita ato yome no meshi,2jE1o5TKervwpdJFk91VlD,0.328,0.993,2,-1.449,0,0.22,0.0541,0.00466,0.184,0.226,137.664,117973,5,jojo
Fiona Apple,Relay,5hnOzmFuGltDDAm008jFDh,0.502,0.574,11,-8.456,0,0.385,0.231,0.0,0.212,0.474,92.101,289230,4,jojo
Leikeli47,Post That,20Befu2qTvZv19YMJinWL2,0.782,0.708,7,-5.367,1,0.118,3.97e-05,0.118,0.0785,0.797,135.019,175000,4,jojo
Doja Cat,Boss Bitch,78qd8dvwea0Gosb6Fe6j3k,0.707,0.955,10,-4.593,0,0.222,0.127,0.0,0.202,0.575,125.989,134240,4,jojo
BenZel,Touch,0iASzYgB1Np2eMYmYDzn2P,0.546,0.475,0,-8.478,1,0.0366,0.0443,0.0232,0.254,0.291,142.018,185693,4,jojo
"Tyler, The Creator",WILSHIRE,1pbbsI2KGPOMu0HmuGccBu,0.555,0.712,1,-7.446,1,0.323,0.0451,5.14e-06,0.182,0.555,78.958,515865,4,jojo
Flo Milli,Beef FloMix,4J2NxCNqehE0MiZhbu97Jx,0.857,0.575,7,-8.36,1,0.221,0.239,0.0,0.293,0.901,116.993,147692,4,jojo
Djflykidd,let me see you do it,7lllENfxsWJccElSNXuGOJ,0.72,0.696,2,-9.707,1,0.379,0.276,0.0,0.853,0.668,176.112,116976,4,jojo
Cocteau Twins,Serpentskirt,5D8SzvASRr7V7ZrrXsh6SY,0.451,0.583,4,-6.481,0,0.0244,0.595,2.99e-05,0.195,0.582,77.945,237600,4,jojo
