,artist,track,uri,nick_history,jojo_history,rich_history
184,Tove Lo,Glad He's Gone,spotify:track:6aIAuKNU8JlVaTmoCYYN6U,,True,
185,Ashnikko,Fuck Me in Shibuya,spotify:track:6oZZofAuIiYl8Wai516Iu1,,True,
186,LVL1,FVN!,spotify:track:4lGOHDJr4PvUguwpMxjzlu,,True,
187,Silk City,Electricity (with Dua Lipa),spotify:track:5N4erncE7kuUccm7zEmwzk,,True,
188,Rihanna,Love On The Brain,spotify:track:2aksifNn5ph8igDOkPBA02,,True,
189,Lorde,Hard Feelings/Loveless,spotify:track:1Dp7JGFNjvg8Nk0CtMCcnr,,True,
190,Kanye West,The New Workout Plan,spotify:track:1Vp4St7JcXaUoJcIahtf3L,,True,
191,Kanye West,Pt. 2,spotify:track:1Wsbr1d2BouNGk2q92mIj7,,True,
192,Payday,Lil Green Car,spotify:track:18C38zObsOM359wD9v9pE6,,True,
193,Boosie Badazz,"Wipe Me Down (feat. Foxx, Webbie & Lil Boosie) - Remix",spotify:track:6D1CstH1YvzNN8cPd9ay9Q,,True,
194,MGMT,Electric Feel,spotify:track:3FtYbEfBqAlGO46NUDQSAt,,True,
195,Alice Longyu Gao,Rich Bitch Juice - Laura Les Remix,spotify:track:0hfjiQ13PQ4TcHOXyi1NWx,,True,
196,dj-Jo,Two Faced Lovers,spotify:track:1U8wnQrnAlWPByturxKdcD,,True,
197,Aminé,Spice Girl,spotify:track:4HW5kSQ8M2IQWZhSxERvla,True,True,
198,KIDS SEE GHOSTS,Fire,spotify:track:7oHkit3F3vimtsBbnZkU0G,,,True
199,Flo Milli,Weak,spotify:track:599VJEzv4zz9vGKVEz3C7e,,True,
200,Yeah Yeah Yeahs,Heads Will Roll - A-Trak Remix,spotify:track:2idmlkd8oUaQvYEtINpLBX,,,
201,Rico Nasty,Hatin,spotify:track:3Wk4qCyx4m5aoafRxftp43,,True,
202,Coco & Clair Clair,TLG,spotify:track:7MGdmqh3XYOQdssUS1GGiT,,True,
203,Dounia,Casablanca,spotify:track:6glGUkhkNjV98OMUAwws5J,,True,True
204,Doja Cat,Kiss Me More (feat. SZA),spotify:track:748mdHapucXQri7IAO8yFK,,True,True
205,Rich The Kid,Nasty (feat. Rubi Rose),spotify:track:3e77Cqc4gp1GLirOzGznD6,,True,
206,Fiona Apple,Under The Table,spotify:track:12WhIX6MvI93bS3wPSStSY,,True,
207,Saweetie,Sway With Me (with GALXARA),spotify:track:5gqLY5H1ZyT3BScVr0nDMs,,True,
208,Fivio Foreign,City of Gods,spotify:track:4huBDGP4I3S0pYI0EaRN1c,,True,True
209,Still Woozy,Maybe She,spotify:track:5U8hidWugxHXvh1AzZYwKF,,True,
210,Outkast,B.O.B. - Bombs Over Baghdad,spotify:track:3WibbMr6canxRJXhNtAvLU,,True,
211,Mitski,Lonesome Love,spotify:track:5hgWjrfgnDb29uCaQ1UovU,,True,
212,Vince Staples,Lift Me Up,spotify:track:6mXwoyzrpb4T5Iveoo4k5G,,True,
213,Fickle Friends,San Francisco,spotify:track:3dHQi60AqDoXhivIpbCvjb,,True,
214,illuminati hotties,(You're Better) Than Ever,spotify:track:09kvp605VBJEeK65QIgnrx,,,
215,The Veronicas,Untouched,spotify:track:4WkOdYTTcPa7WefKMK1iYL,,True,
216,Holy Fuck,Airport Dreams,spotify:track:7n8ZZoNLVtHA5GXvyZLIGa,,,
217,Bobby Shmurda,Hot N*gga,spotify:track:19gEmPjfqSZT0ulDRfjl0m,,True,
218,girl in red,dead girl in the pool.,spotify:track:5MAjVARSIDzwz8jFG36hFu,,True,
219,Rina Sawayama,Cherry,spotify:track:49eeirITrqP3pJALseu6Ed,,True,
220,Gorillaz,Rhinestone Eyes,spotify:track:1foMv2HQwfQ2vntFf9HFeG,,True,
221,Baby Keem,STATS,spotify:track:0w6webWdhjRKdqJ3DeGgM1,,True,
