,artist,track,uri,nick_history,jojo_history,rich_history,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,duration_ms,time_signature
391,RXKNephew,Slither Conspiracy,1wq1MOQLzKToYb6IjZb52G,,True,,0.695,0.874,1,-9.435,1,0.449,0.61,0,0.358,0.559,139.554,audio_features,1wq1MOQLzKToYb6IjZb52G,355213,4
392,Kanye West,Blame Game,4EndPA8b6FDWYp1RgsnLEB,,True,True,0.419,0.581,10,-5.964,0,0.0688,0.306,6.3e-05,0.11,0.636,80.305,audio_features,4EndPA8b6FDWYp1RgsnLEB,469867,1
393,Leikeli47,Iron Mike,3qMJ7Ek4Al0BeMnMAI6Ves,,True,,0.671,0.512,10,-6.614,1,0.0524,0.0996,1.05e-06,0.366,0.488,140.109,audio_features,3qMJ7Ek4Al0BeMnMAI6Ves,181707,4
394,Ryn Weaver,OctaHate,7JVfDagtyWy9bYsaf37H9K,,True,,0.617,0.672,6,-6.274,1,0.0603,0.593,1.31e-05,0.106,0.361,79.979,audio_features,7JVfDagtyWy9bYsaf37H9K,204307,4
395,Princess Nokia,Versace Hottie,6FmCiOJMEmx6dbmFyHJ2p0,,True,,0.775,0.562,11,-11.083,0,0.288,0.138,0.0557,0.673,0.661,124.031,audio_features,6FmCiOJMEmx6dbmFyHJ2p0,194493,4
396,Kesha,Die Young,6mnjcTmK8TewHfyOp3fC9C,,True,True,0.711,0.7,1,-4.805,0,0.046,0.00498,0.000125,0.215,0.801,128.001,audio_features,6mnjcTmK8TewHfyOp3fC9C,211920,4
397,$NOT,Mean,3PXi72ZtSqx1PZc40KS0Qj,,True,,0.844,0.72,1,-7.418,0,0.3,0.169,0,0.0797,0.631,99.917,audio_features,3PXi72ZtSqx1PZc40KS0Qj,125853,4
398,Poppy,Play Destroy,3X3FzrA32EbYvu3n3526w4,,True,,0.531,0.936,2,-3.975,0,0.0786,0.00284,0.000173,0.665,0.556,120.057,audio_features,3X3FzrA32EbYvu3n3526w4,185279,4
399,Otoboke Beaver,Beaver Ni Tsuretette - Remastered 2018,2DeJA7ObVOsP7WjJGx79G4,,True,,0.228,0.98,9,-1.968,1,0.105,0.0832,4.27e-05,0.1,0.484,111.513,audio_features,2DeJA7ObVOsP7WjJGx79G4,163977,4
400,Kanye West,Drunk and Hot Girls,4Sw4lblE6aXpoOJma6Mlx5,,True,,0.661,0.442,10,-7.297,0,0.0285,0.0697,1.15e-05,0.136,0.299,82.758,audio_features,4Sw4lblE6aXpoOJma6Mlx5,313227,3
401,Mild High Club,Homage,7pegxVesMmE2qK0o58xoFG,,True,,0.546,0.468,5,-8.167,1,0.0287,0.153,0.00257,0.321,0.416,73.372,audio_features,7pegxVesMmE2qK0o58xoFG,177493,4
402,Maya B,Selenas,1XfH8yVbajh9dkU3nE7fCK,,True,,0.566,0.904,4,-3.89,0,0.182,0.0452,3.15e-05,0.0725,0.516,172.08,audio_features,1XfH8yVbajh9dkU3nE7fCK,207919,4
403,Doja Cat,Bottom Bitch,0TFkU9aroYAmxCxhOTd0yj,,True,,0.689,0.815,6,-2.947,1,0.0401,0.00414,0.00158,0.0602,0.475,159.994,audio_features,0TFkU9aroYAmxCxhOTd0yj,199000,4
404,Anamanaguchi,Miku,2wxeIeofgy4AHaOhtePamJ,,True,,0.718,0.715,1,-5.981,1,0.0871,0.266,0.00047,0.191,0.557,127.951,audio_features,2wxeIeofgy4AHaOhtePamJ,223125,4
405,Fickle Friends,Rotation,0HIXq9nz3N6XaKUf9eWOPy,,True,,0.695,0.855,2,-5.239,1,0.0321,0.000707,0.00269,0.346,0.345,120.02,audio_features,0HIXq9nz3N6XaKUf9eWOPy,190080,4
406,"Tyler, The Creator",Radicals,5a2vYvmIWmtA8KcUTthpRk,,True,,0.562,0.68,1,-8.015,1,0.498,0.154,0.0955,0.269,0.224,74.06,audio_features,5a2vYvmIWmtA8KcUTthpRk,438333,4
407,Kanye West,Get Em High,5b2FFKC64kxqcfaFnIZxoM,,True,,0.614,0.644,11,-5.672,0,0.373,0.184,0,0.489,0.649,84.788,audio_features,5b2FFKC64kxqcfaFnIZxoM,289493,4
408,BLACKSTARKIDS,"LOVE, STARGIRL",1AgJta10Dm76yA5uz7EuTV,,True,,0.735,0.848,9,-4.79,1,0.0331,0.398,0.147,0.105,0.241,102.006,audio_features,1AgJta10Dm76yA5uz7EuTV,136111,4
409,Unknown Mortal Orchestra,Necessary Evil,4dhARBZ8YLvm8oRDnCIeXr,,True,,0.828,0.724,9,-7.217,1,0.113,0.045,0.0618,0.132,0.694,96.2,audio_features,4dhARBZ8YLvm8oRDnCIeXr,317800,4
410,Two Door Cinema Club,I Can Talk,5R34yWuK4EWjy3l6IAfMFJ,,True,,0.475,0.753,9,-5.058,0,0.214,2.58e-05,0.0968,0.212,0.672,162.92,audio_features,5R34yWuK4EWjy3l6IAfMFJ,177427,4
411,Delfín Quishpe,Torres Gemelas,68NI5JXY2vK9HOeBvUwr0e,,True,,0.787,0.853,9,-6.052,1,0.0765,0.0714,0,0.0614,0.788,130.014,audio_features,68NI5JXY2vK9HOeBvUwr0e,250413,4
412,PASSENGER OF SHIT,Staple Tape Worms on My Penis,7veiR3qo7k7m2GPQx0s7X1,,True,,0.589,0.951,8,-3.024,1,0.122,0.0726,0.057,0.0262,0.206,96.416,audio_features,7veiR3qo7k7m2GPQx0s7X1,209093,4
413,Drive45,Everything I Own,53FufLl4OfGMzdJv73Hpgg,,True,,0.722,0.686,1,-8.133,0,0.0703,0.0661,0.402,0.0721,0.767,164.988,audio_features,53FufLl4OfGMzdJv73Hpgg,201455,4
414,Charli XCX,Girls Night Out,7jspeyAKVWaBYvPGPe6u46,,True,,0.8,0.756,2,-5.911,1,0.103,0.00101,0.000417,0.326,0.89,124.999,audio_features,7jspeyAKVWaBYvPGPe6u46,221280,4
415,Mlma,Sweetie,09LOrSenEZicFy6U5SIhfa,,True,,0.866,0.424,1,-8.931,1,0.205,0.274,0.000232,0.104,0.197,133.111,audio_features,09LOrSenEZicFy6U5SIhfa,204064,4
416,The Internet,Girl (feat. KAYTRANADA),3PFaFVWq5wucLu6s4baj9D,,True,True,0.568,0.42,7,-11.169,0,0.276,0.536,0.124,0.101,0.453,79.89,audio_features,3PFaFVWq5wucLu6s4baj9D,415613,4
417,Rina Sawayama,Where U Are,3z8YW7Aza0dHLBgVUuj2ay,,True,,0.553,0.675,7,-4.406,1,0.0651,0.0093,0,0.11,0.469,168.104,audio_features,3z8YW7Aza0dHLBgVUuj2ay,232946,4
418,LOONA,Hi High,0RqzUS7AkBhQDrBxcGFeDv,,True,,0.669,0.919,7,-2.262,0,0.0711,0.0357,6.81e-06,0.222,0.538,96.955,audio_features,0RqzUS7AkBhQDrBxcGFeDv,196864,4
419,Aminé,"Pressure In My Palms (feat. slowthai, Vince Staples)",2nWB8ZpA1lxulicEUzTQ6W,,True,,0.647,0.537,0,-8.638,0,0.407,0.307,0,0.401,0.698,171.943,audio_features,2nWB8ZpA1lxulicEUzTQ6W,237500,4
420,Vulfpeck,Sky Mall,0e3Ss9QHdiGCyOst88pilL,,True,,0.724,0.849,11,-9.133,1,0.0487,0.000843,0.942,0.208,0.894,144.406,audio_features,0e3Ss9QHdiGCyOst88pilL,155668,4
